epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.064,1.33335,3.27506,1.00737,0.58541,0.21388,0.23229,0.15886,1.16439,2.30494,0.95946,0.0671044,0.000332278,0.000332278
2,570.891,1.21819,1.82879,0.97709,0.66627,0.3763,0.47346,0.32737,1.14366,1.61082,0.96256,0.034095,0.000656198,0.000656198
3,987.123,1.1985,1.52966,0.97336,0.54069,0.52763,0.57602,0.41437,1.05696,1.34175,0.9329,0.00107617,0.000970689,0.000970689
4,1312.6,1.14633,1.31689,0.96256,0.64911,0.59214,0.68277,0.48633,1.0208,1.08285,0.92772,0.000957571,0.000957571,0.000957571
5,1607.14,1.12458,1.18097,0.95305,0.75117,0.62121,0.74656,0.54573,1.00388,0.98065,0.91752,0.000943429,0.000943429,0.000943429
6,1878.85,1.07682,1.06434,0.93722,0.76731,0.72486,0.80889,0.59486,0.98467,0.86641,0.91796,0.000929286,0.000929286,0.000929286
7,2149.17,1.05853,1.00119,0.93513,0.80147,0.72199,0.83242,0.61316,0.98255,0.79793,0.91668,0.000915143,0.000915143,0.000915143
8,2600.81,1.04097,0.92307,0.93025,0.81767,0.76841,0.84713,0.63979,0.93995,0.75537,0.90862,0.000901,0.000901,0.000901
9,3087.08,1.00094,0.86589,0.9229,0.81369,0.74401,0.84929,0.6414,0.91888,0.72158,0.89794,0.000886857,0.000886857,0.000886857
10,3485.41,0.98472,0.82415,0.91859,0.86579,0.76903,0.86826,0.66669,0.87837,0.68539,0.89301,0.000872714,0.000872714,0.000872714
11,3764.6,0.98631,0.80977,0.92242,0.84356,0.81581,0.87256,0.65422,0.92139,0.68236,0.89915,0.000858571,0.000858571,0.000858571
12,4033.81,0.98303,0.78219,0.9164,0.85072,0.80965,0.88296,0.67111,0.89654,0.65315,0.89628,0.000844429,0.000844429,0.000844429
13,4325.34,0.94638,0.77127,0.91172,0.8649,0.81057,0.87707,0.67414,0.88419,0.63314,0.89193,0.000830286,0.000830286,0.000830286
14,4837.62,0.93352,0.72488,0.90594,0.83152,0.81907,0.87349,0.66533,0.87739,0.64157,0.88642,0.000816143,0.000816143,0.000816143
15,5318.94,0.93254,0.71574,0.90587,0.88326,0.81694,0.89386,0.68816,0.87747,0.62353,0.88899,0.000802,0.000802,0.000802
16,5601.93,0.9139,0.69249,0.90175,0.87107,0.82445,0.89246,0.68818,0.85533,0.59435,0.88147,0.000787857,0.000787857,0.000787857
17,5873.93,0.91678,0.67665,0.89741,0.88253,0.82626,0.89863,0.69152,0.83941,0.59239,0.87771,0.000773714,0.000773714,0.000773714
18,6142.42,0.89897,0.65225,0.89718,0.87511,0.83602,0.899,0.69889,0.83165,0.58507,0.87853,0.000759571,0.000759571,0.000759571
19,6410.65,0.89729,0.65465,0.89806,0.91289,0.83055,0.90643,0.70283,0.83632,0.56602,0.87658,0.000745429,0.000745429,0.000745429
20,6678.82,0.88522,0.64086,0.89222,0.89172,0.85197,0.91224,0.70089,0.8438,0.56716,0.88017,0.000731286,0.000731286,0.000731286
21,6946.31,0.89584,0.63435,0.89607,0.88071,0.85485,0.90621,0.70013,0.82475,0.5431,0.87662,0.000717143,0.000717143,0.000717143
22,7214.67,0.87443,0.6206,0.8862,0.89191,0.84937,0.91548,0.70824,0.81939,0.53874,0.8735,0.000703,0.000703,0.000703
23,7482.79,0.86781,0.61776,0.8856,0.88831,0.85069,0.90857,0.70823,0.82693,0.54793,0.87405,0.000688857,0.000688857,0.000688857
24,7750.16,0.86768,0.60797,0.89198,0.92097,0.83682,0.91176,0.7108,0.82099,0.52645,0.8749,0.000674714,0.000674714,0.000674714
25,8017.52,0.85045,0.58195,0.8792,0.90102,0.85356,0.91064,0.70734,0.83548,0.52944,0.87486,0.000660571,0.000660571,0.000660571
26,8285.24,0.85316,0.58854,0.88496,0.89365,0.87399,0.91669,0.71369,0.80594,0.52295,0.87067,0.000646429,0.000646429,0.000646429
27,8553.59,0.84101,0.57685,0.87968,0.90417,0.88146,0.91768,0.71064,0.83709,0.5031,0.87784,0.000632286,0.000632286,0.000632286
28,8821.58,0.8397,0.56615,0.88206,0.90493,0.87125,0.92023,0.72536,0.792,0.49638,0.86648,0.000618143,0.000618143,0.000618143
29,19174.5,0.8326,0.55929,0.87609,0.87986,0.89234,0.92722,0.72592,0.79542,0.48954,0.86513,0.000604,0.000604,0.000604
30,19495.4,0.81966,0.55231,0.87387,0.89733,0.86892,0.91901,0.72336,0.78866,0.4864,0.86579,0.000589857,0.000589857,0.000589857
31,19768.4,0.80734,0.53697,0.8706,0.89851,0.87786,0.92446,0.73267,0.77101,0.47851,0.86343,0.000575714,0.000575714,0.000575714
32,20044.3,0.80267,0.53108,0.87025,0.89837,0.86974,0.92271,0.73055,0.7776,0.48594,0.86468,0.000561571,0.000561571,0.000561571
